,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
45,Ghana,GHA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,3.0631646310000002,3.2293016039999998,3.6008895560000003,4.564421126,4.7651854689999995,5.091781621,5.360788854,5.379459722999999,5.676336086,5.8476024639999995,6.080887538,7.167494018999999
46,Greece,GRC,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,34.05672705,35.19950906,38.01636289,40.04374765,42.46533774,42.08701881,41.11488294,39.45995746,37.58829779,32.47620511,28.16747338,26.81967185
47,Guatemala,GTM,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,17.56650429,17.35328702,17.0188697,27.12491511,29.783228499999996,32.21783759,33.00050119,33.80703206,34.37613928,34.68884737,34.49717782,34.40929314
48,Guinea,GIN,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,0.6806489609999999,0.6650454339999999,0.757097655,0.824255272,1.021651694,1.1892816000000002,1.2976815879999999,1.4314953240000001,1.571055834,1.627514675,2.1767541440000002,2.346152758
49,Guinea-Bissau,GNB,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,0.12220919999999999,0.23806916399999997,0.34850734299999997,0.45307245399999996,1.103567613,1.7194077069999998,1.7783040630000002,2.1412664880000003,2.284175234,2.5137604209999997,2.446616705,2.472593137
50,Heavily indebted poor countries (HIPC),HPC,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,1.164196725,1.208234289,1.216540243,1.7407569809999999,2.225477229,2.544383999,2.81561831,2.7691873989999998,2.95098009,3.236779103,3.725566821,3.622360108
51,High income,HIC,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,23.67292705,24.55254096,25.43580128,25.30833159,25.34964225,24.68764836,23.96584594,23.88035482,23.3647137,22.90583307,21.26283003,20.13811922
52,Honduras,HND,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,16.2424736,17.10119766,19.21194562,22.91117564,24.35652312,23.41717037,20.5882078,20.92644355,23.00427141,23.39713385,23.28828759,21.16077562
53,Hungary,HUN,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,13.78842588,14.80699311,16.1274712,17.29669461,17.93918087,17.60340622,16.74163399,16.41276175,16.06625956,15.41095214,15.51295363,15.14606273
54,Iceland,ISL,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,90.77837861,86.0367813,77.47060767,73.26046729,69.69950687,60.91050412,57.65242295,52.27427897,47.1868384,43.15228386,40.30166917,37.17741038
55,India,IND,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,8.962884124,8.925328359,8.895780807000001,9.006096049,9.312940246,9.60197962,10.0376104,10.51197766,11.18509358,11.85444972,12.87162345,13.54871446
56,Indonesia,IDN,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,5.166451522,5.275983433,5.720283982000001,5.970074736,6.583659096,7.647267469,8.124068723999999,14.74011236,16.92652814,17.72089392,17.93057043,17.76273172
57,"Iran, Islamic Rep.",IRN,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,28.42544067,27.72493334,27.50291453,27.64126256,28.4423102,28.12855211,25.93673836,29.21777535,26.81013984,27.371798499999997,27.31014833,30.98027996
58,Ireland,IRL,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,35.69547313,34.38623727,33.70988261,32.92789713,33.47317613,34.12137255,27.96387029,26.999570000000002,24.48082525,22.90583307,21.42278124,20.13811922
59,Israel,ISR,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,19.78913637,19.60090083,19.40492644,19.45205427,19.81859539,19.67347501,21.54289147,21.86360383,21.8388344,21.4761977,20.84643473,20.05673108
60,Italy,ITA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,56.18230466,56.73303413,57.96761816,59.13166208,62.57224233,59.66197392,58.40362169,57.95894200000001,56.42706017,53.25329548,50.77758951,49.49120566
61,Jamaica,JAM,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,7.24716209,7.0106831839999995,6.976277454,6.946391331,7.125193996,6.774834777000001,6.425750911000001,6.296302773,6.212626625,5.884726966000001,5.330808503,5.424322719
62,Japan,JPN,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,34.58892415,34.37391681,34.1128108,33.89568864,33.84023789,33.79883157,33.79299639,33.87113370000001,33.92434373,33.88855935,33.88086427,34.13676002
63,Jordan,JOR,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,19.47340789,19.01188152,18.17909618,18.25527176,18.05276482,17.82304522,18.3941228,18.54076709,18.49590576,18.35076113,18.28690771,18.25774545
64,Kazakhstan,KAZ,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,3.732428684,3.9594478960000004,3.085080798,3.298435734,3.49689198,3.3717447189999996,3.264564741,3.3290684610000003,3.294145078,3.2789824210000003,3.390387092,2.963414245
65,Kenya,KEN,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,2.975929326,2.868758604,2.9878455410000004,3.6806400960000003,4.252842822,4.627394182,4.78298388,5.061733405,5.372509432999999,5.497061472,5.726999885,5.853975387999999
66,"Korea, Rep.",KOR,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,16.80586432,17.28818011,17.82439468,18.36035897,18.78761129,18.28889167,18.262175,18.31289197,18.41195118,18.11816123,17.3328671,16.92456499
