,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
118,Sub-Saharan Africa (excluding high income),SSA,Internet users (per 100 people),IT.NET.USER.P2,1.5033761669999999,2.041749965,2.720841374,3.498191793,3.9129493639999997,4.647590094,7.151372932999999,8.486197558999999,10.36245919,12.41327101,14.76640037
119,Sudan,SDN,Internet users (per 100 people),IT.NET.USER.P2,0.791561615,1.292040678,22.25778137,8.66,27.48731915,30.10538232,16.7,17.46,21.0,22.7,24.64
120,Suriname,SUR,Internet users (per 100 people),IT.NET.USER.P2,6.076047814,6.403086288,9.499626942,14.11,21.06,31.36,31.59,32.0,34.6812,37.4,40.08
121,Swaziland,SWZ,Internet users (per 100 people),IT.NET.USER.P2,3.2286850730000003,3.696961073,3.696538789,4.1,6.85,8.94,11.04,18.13,20.78178258,24.7,26.17500573
122,Sweden,SWE,Internet users (per 100 people),IT.NET.USER.P2,83.89,84.83,87.76,82.01,90.0,91.0,90.0,92.76998606,93.17998801,94.7836,92.52
123,Switzerland,CHE,Internet users (per 100 people),IT.NET.USER.P2,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.19302818,85.2,86.34,87.4
124,Tanzania,TZA,Internet users (per 100 people),IT.NET.USER.P2,0.8775749709999999,1.1,1.3,1.6,1.9,2.4,2.9,3.2,3.95,4.4,7.0
125,Thailand,THA,Internet users (per 100 people),IT.NET.USER.P2,10.67730332,15.02600436,17.16071472,20.03,18.2,20.1,22.4,23.66992562,26.46,28.94,34.89
126,Togo,TGO,Internet users (per 100 people),IT.NET.USER.P2,1.5,1.8,2.0,2.2,2.4,2.6,3.0,3.5,4.0,4.5,5.7
127,Trinidad and Tobago,TTO,Internet users (per 100 people),IT.NET.USER.P2,27.02427008,28.97671243,30.00374858,32.3,34.8,44.3,48.5,55.2,59.5162,63.8,65.1
128,Tunisia,TUN,Internet users (per 100 people),IT.NET.USER.P2,8.528817752,9.655086542000001,12.98640865,17.1,27.53,34.07,36.8,39.1,41.4416,43.8,46.16
129,Turkey,TUR,Internet users (per 100 people),IT.NET.USER.P2,14.58,15.46,18.24,28.63,34.37,36.4,39.82,43.06571043,45.13,46.25,51.04
130,Uganda,UGA,Internet users (per 100 people),IT.NET.USER.P2,0.71997068,1.742205503,2.529363038,3.6719653510000003,7.9,9.78,12.5,13.01354333,14.1,15.5,16.9
131,Ukraine,UKR,Internet users (per 100 people),IT.NET.USER.P2,3.4894778810000004,3.749764415,4.506124563999999,6.55,11.0,17.9,23.3,28.70826284,35.27,40.954128999999995,46.23597546
132,United Arab Emirates,ARE,Internet users (per 100 people),IT.NET.USER.P2,30.13129617,40.0,52.0,61.0,63.0,64.0,68.0,78.0,84.99999150000001,88.0,90.4
133,United States,USA,Internet users (per 100 people),IT.NET.USER.P2,64.75825648,67.96805292,68.93119327,75.0,74.0,71.0,71.69,69.72946076,74.7,71.4,73.0
134,Upper middle income,UMC,Internet users (per 100 people),IT.NET.USER.P2,9.946611326000001,11.5671719,14.08811793,18.75267674,23.49378321,28.50372102,33.88045575,38.14851008,42.75353492,46.18498262,49.02025566
135,Uruguay,URY,Internet users (per 100 people),IT.NET.USER.P2,17.06309834,20.08818956,29.4,34.0,39.3,41.8,46.4,51.40466106,54.45376868,57.69,61.46
136,Uzbekistan,UZB,Internet users (per 100 people),IT.NET.USER.P2,2.593725421,3.3435098880000003,6.388321967,7.490604681000001,9.080114522999999,11.9,15.9,18.6,23.6,26.8,35.5
137,"Venezuela, RB",VEN,Internet users (per 100 people),IT.NET.USER.P2,8.404469592,12.55299791,15.22471148,20.83,25.88,32.7,37.37,40.22,49.05008307,54.9,57.0
138,World,WLD,Internet users (per 100 people),IT.NET.USER.P2,14.17277668,15.78830954,17.58107611,20.51262307,23.06702536,25.48700486,28.85404589,31.275521,34.34096965,36.88529875,39.93869834
139,"Yemen, Rep.",YEM,Internet users (per 100 people),IT.NET.USER.P2,0.8812229890000001,1.048597934,1.247824049,5.01,6.89,9.96,12.35,14.905,17.4465,20.0,22.55
140,Zambia,ZMB,Internet users (per 100 people),IT.NET.USER.P2,2.013549532,2.851752261,4.159913394,4.87,5.55,6.31,10.0,11.5,13.4682,15.4,19.0
141,Zimbabwe,ZWE,Internet users (per 100 people),IT.NET.USER.P2,2.1,2.4,2.4,3.0,3.5,4.0,6.4,8.4,12.0,15.5,16.36473996
