,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
71,Least developed countries: UN classification,LDC,Time required to start a business (days),IC.REG.DURS,65.51315789,69.1744186,64.78409091,60.44318182,55.03409091,52.76136364,47.94318182,37.45454545,36.33695652,32.3,28.86956522
72,Lesotho,LSO,Time required to start a business (days),IC.REG.DURS,138.0,103.0,73.0,73.0,39.0,39.0,39.0,39.0,29.0,29.0,29.0
73,Low & middle income,LMY,Time required to start a business (days),IC.REG.DURS,54.38990826,57.61382114,53.308,49.163999999999994,45.228,41.91269841,39.154761900000004,35.00793651,34.19767442,27.57751938,24.43023256
74,Low income,LIC,Time required to start a business (days),IC.REG.DURS,57.375,62.07407407,58.67857143,54.03571429,52.85714286,50.21428571,44.75,35.875,33.01724138,28.56896552,27.13793103
75,Lower middle income,LMC,Time required to start a business (days),IC.REG.DURS,57.21111111,54.01020408,49.96938776,45.71428571,41.26530612,38.44,35.62,31.16,30.7745098,27.80784314,23.14117647
76,Madagascar,MDG,Time required to start a business (days),IC.REG.DURS,47.0,42.0,20.0,7.0,7.0,8.0,8.0,7.0,9.0,8.0,8.0
77,Malawi,MWI,Time required to start a business (days),IC.REG.DURS,37.0,37.0,37.0,37.0,37.0,36.0,36.0,36.0,37.0,40.0,38.0
78,Malaysia,MYS,Time required to start a business (days),IC.REG.DURS,37.0,37.0,37.0,31.0,20.0,18.0,17.0,5.0,6.0,6.0,5.5
79,Maldives,MDV,Time required to start a business (days),IC.REG.DURS,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
80,Mali,MLI,Time required to start a business (days),IC.REG.DURS,33.0,27.0,42.0,25.0,25.0,8.0,8.0,8.0,8.0,11.0,11.0
81,Mauritius,MUS,Time required to start a business (days),IC.REG.DURS,46.0,46.0,46.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
82,Mexico,MEX,Time required to start a business (days),IC.REG.DURS,30.0,30.0,8.0,7.5,9.0,8.0,6.0,6.0,6.0,6.3,6.3
83,Middle East & North Africa,MEA,Time required to start a business (days),IC.REG.DURS,37.375,35.76470588,34.47058824,29.63157895,19.57894737,18.10526316,18.23684211,18.75,20.76190476,19.35714286,18.64285714
84,Middle East & North Africa (excluding high income),MNA,Time required to start a business (days),IC.REG.DURS,37.81818182,36.08333333,35.75,34.75,21.0,19.0,19.0,18.91666667,22.46153846,20.69230769,20.0
85,Middle income,MIC,Time required to start a business (days),IC.REG.DURS,53.54705882,56.359375,51.75773196,47.75773196,43.0257732,39.54081633,37.55612245,34.76020408,34.54,27.29,23.645
86,Moldova,MDA,Time required to start a business (days),IC.REG.DURS,30.0,30.0,30.0,23.0,15.0,10.0,10.0,9.0,9.0,7.0,6.0
87,Morocco,MAR,Time required to start a business (days),IC.REG.DURS,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0
88,Mozambique,MOZ,Time required to start a business (days),IC.REG.DURS,167.0,167.0,112.0,29.0,26.0,26.0,13.0,13.0,13.0,13.0,13.0
89,Namibia,NAM,Time required to start a business (days),IC.REG.DURS,85.0,95.0,95.0,99.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
90,Netherlands,NLD,Time required to start a business (days),IC.REG.DURS,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,4.0,4.0
91,New Zealand,NZL,Time required to start a business (days),IC.REG.DURS,12.0,12.0,12.0,12.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
92,Nicaragua,NIC,Time required to start a business (days),IC.REG.DURS,40.0,40.0,40.0,39.0,39.0,39.0,39.0,39.0,39.0,36.0,13.0
93,Niger,NER,Time required to start a business (days),IC.REG.DURS,35.0,35.0,31.0,23.0,19.0,17.0,17.0,17.0,17.0,17.0,15.0
94,Nigeria,NGA,Time required to start a business (days),IC.REG.DURS,36.0,35.0,35.0,27.0,25.0,25.0,25.0,28.0,28.0,30.8,30.8
95,North America,NAC,Time required to start a business (days),IC.REG.DURS,4.5,4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.6,5.3
96,Norway,NOR,Time required to start a business (days),IC.REG.DURS,18.0,8.0,7.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0
97,OECD members,OED,Time required to start a business (days),IC.REG.DURS,30.18181818,23.54545455,19.88235294,17.26470588,14.52941176,13.97058824,13.13235294,10.83823529,10.45588235,10.25588235,8.914705882
98,Oman,OMN,Time required to start a business (days),IC.REG.DURS,35.0,35.0,42.0,39.0,13.0,11.0,11.0,7.0,7.0,7.0,7.0
99,Pakistan,PAK,Time required to start a business (days),IC.REG.DURS,24.0,22.0,24.0,23.0,23.0,19.0,19.0,19.0,19.0,19.0,19.0
100,Papua New Guinea,PNG,Time required to start a business (days),IC.REG.DURS,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,53.0
101,Paraguay,PRY,Time required to start a business (days),IC.REG.DURS,72.0,72.0,72.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
102,Peru,PER,Time required to start a business (days),IC.REG.DURS,98.0,104.0,74.0,74.0,66.5,40.5,27.0,26.0,26.0,26.0,26.0
103,Philippines,PHL,Time required to start a business (days),IC.REG.DURS,49.0,47.0,47.0,47.0,41.0,42.0,37.0,36.0,36.0,36.0,34.0
104,Poland,POL,Time required to start a business (days),IC.REG.DURS,56.0,46.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,30.0,30.0
105,Portugal,PRT,Time required to start a business (days),IC.REG.DURS,78.0,48.0,6.5,5.5,4.5,4.5,4.5,3.5,3.5,2.5,2.5
106,Russian Federation,RUS,Time required to start a business (days),IC.REG.DURS,30.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,18.0,12.9,11.2
107,Rwanda,RWA,Time required to start a business (days),IC.REG.DURS,18.0,18.0,16.0,16.0,14.0,7.0,7.0,7.0,8.0,7.0,6.5
108,Saudi Arabia,SAU,Time required to start a business (days),IC.REG.DURS,74.0,67.0,42.0,19.0,19.0,20.0,20.0,20.0,20.0,20.5,20.5
