Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Cambodia,KHM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,33000000,54124000,68900000,150800000,293600000,203700000,242822982.413851,232238729.45348,118308566.310881,146481995.063845,130956363.872694,81580650.5580651,131416229.281784,377180190.600284,483209382.712787,867288538.643542,815180217.958377,511114452.01196,735199191.387708,795460489.148998,1440978035.23129,1345044251.79474,1730355930.06587,1700968602.07379,..
Cameroon,CMR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-112831336.842375,-14498049.7545054,29203775.7802858,5120733.12285923,-9005687.52232003,7292420.07210034,101315910.027814,78335616.3021632,215105209.392868,-15494743.3000537,159311347.966861,-11658187.0086996,502881968.71017,334137809.921051,67863015.1171009,243504753.307842,59069772.8495726,189330876.448617,20910875.6177364,743285027.269427,535742601.499259,652411755.806169,527394101.244602,547249169.110124,724889079.351744,694057556.551568,..
Canada,CAN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,7580601938.18178,2874387247.60276,4776794694.12152,4748859062.86054,8223759965.39026,9319143130.32225,9635109106.00339,11522842174.4894,22742494378.7268,24788755778.1258,68309240320.0148,28392596347.2415,24496718382.1588,7011850119.93989,1441912586.52446,25545319851.8862,64302242674.7711,120423072126.687,70116945930.5349,20931399830.4229,29712896615.6289,38318064818.6211,49377811366.8347,67047596545.2221,64253194578.2522,54702381231.8659,31602041571.1495
Caribbean small states,CSS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,377119172.113289,526458954.248366,572953464.052288,653763098.186658,935569632.424357,829172787.585981,885228082.009544,1719728567.7725,1614511925.62887,1680714125.92593,1603241724.90725,1965089748.26541,1923471097.24861,2203487732.3948,2292694846.97475,3132557853.95562,3749473256.04928,3914059457.58788,6464389874.06011,3108814128.45883,2838948468.52325,2182682754.94561,594787669.773581,811998235.39862,2861281263.91449,2577661912.63129,1038446443.27663
Cayman Islands,CYM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,49040000,-8540000,27490000,459760000,467070000,50310000,1231710000,3150870000,4354110000,6475830000,7626860000,3922820000,-195890000,-2688560000,9669090000,10221237000,14962802000,23218440000,19634184000,20425775000,11948450000,19026130000,8104034000,18176034000,23731315000,18987382000,..
Central African Republic,CAF,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,697850.065105836,-4874038.73164914,-10676567.963142,-9980132.2794484,3602275.00892801,6200565.7641,10925575.5036,1497424.0537,7300593.9466,5976946.5274,889074.912637505,5183898.81029522,5644286.55873559,11300000,15100000,10100000,34670000,56750000,117110000,42280000,61520000,36908455.8896391,70035157.3288679,1852792.61190451,3475007.99095347,3000000,..
Central Europe and the Baltics,CEB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,646818992.0373,1849041210.2598,2511342682.57185,5546137376.707,5305118917.55993,12488366970.902,11295186439.5806,14260254940.8715,19558098870.533,21802591795.0186,23604710222.9746,21573196197.0886,26454689842.5335,20393078947.1403,42935821454.9425,55346683245.4771,81836114436.0508,153404414827.826,138491230696.688,31086576434.5691,20440196166.7572,49530616931.8464,38963514922.9226,15046866243.8796,54649176404.4295,21625869926.2206,24185673252.3764
Chad,TCD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,9400000,4239527.50767445,1960770.97412268,15160901.583748,27074698.967103,32611570.1155,39466173.5268,44293940.5725,21696680.4079,24524970.8055,115172421.542299,459866391.829084,924119210.086831,712663454.920853,466793492.149124,-99342519.3566245,-278414000,-321655000,466131000,374900000,313000000,281900000,579793037.390775,520200793.45802,-675545847.112244,600219798.79956,..
Channel Islands,CHI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,661200000,822700000,936100000,1034300000,2582100000,2957000000,4814616000,5271400000,4627817978,8761016217.84,4860015667.52,4199763048.85,2549923142.41108,4059335594.47001,6847694629.77351,7525548373.58942,7659148331.11247,13562872053.514,18627398294.3851,13966041793.2391,16153354561.3605,24373585096.4419,30561690391.9069,21092278856.503,24011458728.6005,20468714299.2631,12225431089.4406
