Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
India,IND,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,381241,407398,439596,480993,521371,551448,600548,625723,625723,649645,665810,681696
Indonesia,IDN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,4698,4698,..,4390,..,..,7166,7166,7166,7166,..
"Iran, Islamic Rep.",IRN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,18182,19127,20542,20542,21829,20540,20247,21008,22604,22400,24461,25014
Iraq,IRQ,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,733,733,640,121,121,249,249,249.463,249,..
Ireland,IRL,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,399,303,166,129,103,79,92,105,91,98,100,96
Isle of Man,IMN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1190,1149,1135,1175,1055,1055,1062,1099,1099,1099.233,1099,1155
Italy,ITA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,23270,21045,21852,22340,19918,13569,12037,11545,11249,10558,10343,10267
Jamaica,JAM,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Japan,JPN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,22200,21900,23014,23145,23032,22100,20432,20255,20255,20255,20255,..
Jordan,JOR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,198,1024,517,517,789,353,353,344,344,344.1,344,..
Kazakhstan,KAZ,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,163420,171855,191189,191189,214907,197302,213174,223584,235846,231248,216524,189759
Kenya,KEN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1399,1399,1399,..,..,..,..,..,..,..,..,..
Kiribati,KIR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Dem. People’s Rep.",PRK,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,10641,10108,10554,10927,11566,9273,9452,9996,9996,10459,9564,9479
Kosovo,XKX,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Kuwait,KWT,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Kyrgyz Republic,KGZ,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,715,752,849,745,738,798,923,923,922,..
Lao PDR,LAO,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Late-demographic dividend,LTE,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,5209.9,5851,5977,7766,4627.5,4764,5572,6005,4807,4807,4897.25,..
Latin America & Caribbean,LCN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Latin America & Caribbean (excluding high income),LAC,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Latvia,LVA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,16877,17921,15273,16735,17704,18693,17164,17164,16930,14991,15257,13023
Least developed countries: UN classification,LDC,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Lebanon,LBN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Lesotho,LSO,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Liberia,LBR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Libya,LBY,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
