Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.3899756097561,73.4331219512195,73.471756097561,73.5053170731707,73.535756097561,73.5636097560976,73.5899512195122,73.6163414634146,73.6448536585366,73.6794878048781,73.7241951219512,73.7844390243903,73.8621707317073,73.9588292682927,74.0719024390244,74.1999024390244,74.3388292682927,74.482756097561,74.6276829268293,74.7711463414634,74.9106341463415,75.0476585365854,75.1831951219512,75.3197317073171,75.4567804878049,75.5943414634146,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.9946341463415,77.2756097560976,77.3780487804878,77.8780487804878,77.8780487804878,77.8292682926829,78.0780487804878,78.4804878048781,78.6317073170732,78.9317073170732,79.2341463414634,79.6341463414634,79.9365853658537,80.2390243902439,80.490243902439,80.8414634146341,81.0414634146342,81.2926829268293,81.3951219512195,81.5439024390244,81.6951219512195,81.8951219512195,82.0463414634146,82.1487804878049,82.3,82.4512195121951,..
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.5682926829269,75.6170731707317,75.8170731707317,76.0682926829268,76.419512195122,76.6682926829268,76.8707317073171,77.319512195122,77.6707317073171,77.8756097560976,78.1268292682927,78.5756097560976,78.6780487804878,78.6317073170732,79.1804878048781,79.3317073170732,79.8804878048781,80.1804878048781,80.4317073170732,80.3317073170732,80.5804878048781,80.9829268292683,80.9365853658537,81.1365853658537,81.490243902439,81.8439024390244,..
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.6472195121951,64.5945853658537,64.6058048780488,64.706243902439,64.9010975609756,65.1747317073171,65.4943658536585,65.8212682926829,66.127756097561,66.4098536585366,66.6815853658537,66.9724878048781,67.3106097560976,67.7125609756097,68.1734390243902,68.6770975609756,69.1990487804878,69.7062195121951,70.171,70.5784878048781,70.9186097560976,71.1896341463415,71.4056829268293,71.5814146341463,71.724756097561,71.8451951219512,..
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.6306585365854,70.7918048780488,70.9296341463415,71.0481463414634,71.1548048780488,71.2625609756098,71.3904390243902,71.5498780487805,71.7478780487805,71.9843658536585,72.2542926829268,72.5450975609756,72.8412682926829,73.1272926829268,73.3946585365854,73.6393658536586,73.8594634146341,74.0614634146342,74.2509512195122,74.4284146341464,74.5969024390244,74.7579268292683,74.9139756097561,75.0665365853659,75.2176341463415,75.3687804878049,..
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.5159756097561,72.7226097560976,72.9271951219512,73.129243902439,73.330243902439,73.5307317073171,73.732243902439,73.9342926829268,74.1343658536585,74.3329756097561,74.5280243902439,74.7179756097561,74.9007804878049,75.0769024390244,75.2453658536585,75.4071707317073,75.5633902439024,75.7145609756098,75.8632682926829,76.0100243902439,76.1553170731707,76.2996341463415,76.4429512195122,76.5852195121951,76.7254634146341,76.8651951219512,..
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.4085609756098,59.0402682926829,59.7073414634146,60.4072926829268,61.1320243902439,61.8723658536585,62.6125609756098,63.3388780487805,64.0381951219512,64.7024146341464,65.3251219512195,65.9044634146342,66.4496585365854,66.9673658536585,67.4626097560976,67.9412926829268,68.4102682926829,68.8739024390244,69.3336829268293,69.7911707317073,70.2420487804878,70.6805609756098,71.1009024390244,71.497756097561,71.8716585365854,72.2216097560976,..
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.1719512195122,71.4033414634146,71.6312195121951,71.8540975609756,72.0724878048781,72.2843902439025,72.4888048780488,72.6842195121951,72.8706585365854,73.0485853658537,73.219512195122,73.3839268292683,73.5463170731707,73.7071707317073,73.8680243902439,74.0303414634146,74.1936341463415,74.3574146341464,74.5217073170732,74.6854878048781,74.8488048780488,75.0101463414634,75.1700243902439,75.3279512195122,75.4839024390244,75.6379024390244,..
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.8365853658537,70.3780487804878,70.0219512195122,68.9707317073171,68.7682926829268,68.4609756097561,68.5121951219512,68.4609756097561,68.4073170731707,67.9073170731707,68.9121951219512,68.5073170731707,68.0560975609756,68.5536585365854,68.9560975609756,68.8512195121951,69.4048780487805,70.2073170731707,70.4560975609756,70.4073170731707,70.4048780487805,70.5536585365854,71.9658536585366,72.4707317073171,72.9707317073171,73.6243902439025,..
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.0519512195122,76.1921951219512,76.3512195121951,76.3453658536585,76.6917073170732,76.8407317073171,77.1873170731707,77.3707317073171,77.4731707317073,77.619512195122,77.7219512195122,77.9731707317073,78.0756097560976,78.1292682926829,78.8780487804878,78.9804878048781,79.380487804878,79.7829268292683,79.6804878048781,79.9829268292683,80.1829268292683,80.5853658536585,80.3853658536585,80.5878048780488,81.2878048780488,81.2878048780488,..
