name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015
Latvia,LVA,31.59452829,31.91566332,33.44617803,37.40457916,36.66019876,35.39429927,34.20988644,32.74848596,24.58759348,21.53200738,20.32762443,18.00126939
Least developed countries: UN classification,LDC,1.226485139,1.315225584,1.543776117,1.957740025,2.173250515,2.358734413,2.559850444,2.597382358,2.931113794,2.988485238,3.309512384,3.257553114
Lebanon,LBN,30.81336432,30.58183773,29.92449144,29.92082107,29.77005725,29.65604677,29.19908364,28.57287881,27.04307648,25.87616033,25.2227876,24.55603498
Lesotho,LSO,2.615489101,2.496554325,2.034629392,2.172392732,2.306159092,2.352675844,3.432412994,3.452965509,3.392323788,3.635358405,3.573635504,18.21139794
Low & middle income,LMY,4.789875671,5.101187678,5.173456322,5.179049962,5.997365722,6.577638316,6.469576337,7.081038871,7.673484131,7.842708168,8.41887316,8.645171209
Low income,LIC,1.129012487,1.183626292,1.178094171,1.444821452,1.907929909,2.300990369,2.459087668,2.290036916,2.698448739,2.895234428,3.10997747,2.938469424
Lower middle income,LMC,5.145950212,5.293868682,5.720283982,5.848334507,5.997365722,6.433050695,6.513401763,7.156279309,7.068207204,7.416549787,7.878527903,8.320992909
Luxembourg,LUX,110.9393248,105.4067864,100.6189153,97.54415983,94.57965722,90.92637801,88.62144948,85.95332054,82.98226668,81.72977424,79.59133201,76.88149952
"Macao SAR, China",MAC,35.45900752,35.38424187,37.11897004,36.88092729,36.81071928,36.55586179,36.21883894,36.82493718,36.69265901,37.47355697,38.49450759,38.9318204
"Macedonia, FYR",MKD,17.45738726,16.58408407,18.96466353,20.15078597,24.55807474,25.51434049,25.82843521,24.31760559,24.78618255,24.86332467,24.94602297,24.73797731
Madagascar,MDG,1.12699641,1.119547568,1.140444166,1.270247349,1.336484926,1.413786395,1.466990288,1.531847225,1.613842191,1.680927418,1.903099586,2.066968359
Malawi,MWI,0.999057858,0.95619607,0.941903264,1.965437369,2.200719877,2.300967004,2.893864378,1.071137921,3.280704869,3.258100723,3.233891711,3.283427704
Malaysia,MYS,14.06401328,12.6389235,11.72652392,11.43314908,11.23250211,11.07813707,10.86363354,11.20357268,11.11633261,10.91227067,10.76382766,10.65841005
Maldives,MDV,10.33155457,10.30846312,11.97953459,12.07849387,12.27032698,12.58473146,12.22796107,12.19896054,12.25249522,11.96857945,12.05230432,12.13221813
Mali,MLI,2.418087656,2.457545895,2.612012632,2.943439013,2.825736811,3.175148792,3.600600466,4.198170132,4.746786119,4.97192413,5.544719614,5.738892725
Malta,MLT,39.13749136,39.54273006,37.6783433,38.8720975,40.54765608,40.69497819,40.06623626,42.001341,38.38253428,38.40420848,37.87913079,40.09944018
Marshall Islands,MHL,12.00590263,12.00959264,12.00451946,14.98953155,17.95815975,17.92383671,17.88725605,20.82358356,20.77534329,20.72693335,20.68304858,20.64597029
Mauritius,MUS,18.14094527,18.27924055,18.64496424,18.95217292,19.55307534,21.09740001,21.31137548,21.61538945,21.91406363,22.23582439,24.33835121,23.95344782
Mexico,MEX,10.75874484,10.81546372,11.14958559,12.24786601,13.10006754,13.67568438,14.07214134,14.08323374,14.93023568,14.86062589,14.74990273,14.00163224
"Micronesia, Fed. Sts.",FSM,12.33939506,12.30901789,12.29350749,12.28916403,12.28633299,15.33907015,15.29426159,15.16783206,15.02042778,14.85685421,14.68709152,18.21139794
Middle East & North Africa,MEA,10.88956294,11.39015924,12.2198891,12.57687775,13.4263091,13.59478396,13.71822603,12.68019509,12.8952883,13.08107359,14.85246805,13.56104685
Middle East & North Africa (excluding high income),MNA,8.778687251,8.769542767,9.790149937,9.950839714,10.48056416,10.78658909,10.77116888,10.91351063,10.97407574,10.32249529,14.53117563,14.61415021
Middle East & North Africa (IDA & IBRD countries),TMN,9.290250751,9.679444914,10.51188835,10.60019572,10.54846745,10.71630453,11.05870625,11.12610793,11.44018148,11.75114936,18.28690771,18.25774545
Middle income,MIC,7.47651997,7.902788386,7.87190787,8.176177371,8.839227762,9.60197962,10.03322883,10.51197766,10.18058817,10.63866701,11.47644278,11.95409249
Moldova,MDA,7.263001133,7.7828601,8.223321484,9.17529607,10.63636994,10.20759449,10.35734447,11.23546863,11.40956566,11.95998653,12.08698593,10.01682418
Mongolia,MNG,40.00452623,41.65859114,46.11745921,53.09393313,57.27960548,54.37330276,54.70616883,65.84584811,68.40397743,70.90677594,71.49557299,70.43868327
Montenegro,MNE,21.09421495,25.08599628,27.27273902,34.73343105,41.93839053,43.81919395,40.04699367,40.52226945,40.77062861,42.58937891,42.02255668,43.0590099
Morocco,MAR,9.87065066,10.58934706,11.46154001,12.60946834,14.14682857,19.5769873,20.81198798,21.85839737,22.89504444,23.6108059,24.07162977,24.61305386
Mozambique,MOZ,1.779748996,2.000132009,2.0351551,2.362732082,2.50084856,2.862179265,3.282394172,3.507601563,3.728271793,3.742156773,3.978723942,4.136468973
Myanmar,MMR,1.757326673,1.677677496,1.379201532,1.403602375,1.432728227,1.452183964,1.492154064,1.635197757,1.813630912,2.672323754,3.306100361,3.270320213
Namibia,NAM,10.74198827,10.7376169,11.74346167,12.3761986,12.49755063,12.51751321,12.5189902,12.54252813,12.33927571,12.34054758,12.79912174,12.78359999
Nepal,NPL,2.59759382,2.554042597,2.605534526,3.584906441,3.569736024,4.700168233,5.193810873,7.372767896,8.398216403,8.312992896,8.41887316,8.864604571
Netherlands,NLD,33.60374054,28.05902976,27.67259799,28.62592193,27.53638188,25.18648648,22.97300207,21.26097095,19.60112534,17.30535417,14.69881352,13.94817256
New Zealand,NZL,35.0193795,35.15868269,35.35889009,35.14350493,34.9935422,35.70198669,34.49563368,33.92570713,33.34914865,30.87919554,29.62818917,29.04240869
Nicaragua,NIC,4.904089386,6.240932506,6.940541374,7.38966974,8.173516723,8.104169834,6.793918665,7.16312181,7.068207204,7.416549787,7.610881934,8.130965891
Niger,NER,0.406690572,0.509684367,0.479517414,0.668542132,0.817433914,0.801689707,0.944552209,1.088595717,1.287854371,1.469653734,1.476990493,1.501484136
Nigeria,NGA,4.665248671,4.146989359,3.753902993,5.171840443,6.221409389,6.433050695,6.513401763,6.357857217,5.769542087,5.855403921,5.560132414,4.938618218
North America,NAC,32.50746481,33.09151418,29.16614642,29.6246754,29.78902505,29.94840425,29.63490009,29.5538584,29.45572078,28.78891857,28.06514038,28.24669161
Norway,NOR,13.13385452,12.08477944,12.01359467,12.31307634,11.69682052,11.01637095,10.95738896,10.72298235,9.921660502,8.933982391,8.506383495,7.718856177
OECD members,OED,29.02729873,27.28082419,27.52115944,28.62592193,27.76276212,26.43134954,26.25658051,25.93630145,24.48082525,24.28829087,24.05439605,23.63551476
Oman,OMN,21.51471068,20.68213553,20.38226536,20.93780367,21.79798453,22.27351679,21.30504246,19.7714454,18.16446436,16.69101456,14.51291515,13.56104685
Other small states,OSS,6.637732959,5.914037903,6.287825122,6.883576716,7.933149655,8.06594968,9.081078465,8.720929983,8.781490684,9.194556822,8.777639053,9.053321262
Pakistan,PAK,7.690038807,7.781794844,7.923509996,8.176177371,8.522634729,8.600869416,8.636619058,8.813970668,9.059896146,9.385293209,9.662368189,10.0405121
Papua New Guinea,PNG,1.935216252,1.912712543,1.809408605,1.814494389,1.767590174,1.671862553,1.7224526,1.840332303,1.83607146,1.830030716,1.780424724,2.777001748
Paraguay,PRY,4.155895288,3.999078612,4.059399422,4.328318764,5.762660703,7.136875994,8.590391014,9.541322601,10.04872946,10.3475567,10.77073157,12.15910054
Peru,PER,4.263982738,4.374231229,4.5307708,5.179049962,6.651529474,6.722225938,6.785860368,7.005798434,7.586328088,7.71785074,8.006013905,8.128552595
Philippines,PHL,8.223409477,8.022716672,7.820305745,7.561377257,7.599064538,7.518543356,7.578284603,7.698429151,7.981730354,8.295183615,8.681494037,8.84317638
Poland,POL,26.5291181,26.50261862,27.52115944,29.6065589,32.63386236,32.82941135,32.08812562,32.49476204,33.91242953,32.94623779,32.95701194,31.14791235
Portugal,PRT,66.4523695,68.15131237,70.7377771,61.5040246,64.19543024,65.7547467,65.84184894,63.92122345,61.07316571,58.00701995,53.36928022,50.6278203
Post-demographic dividend,PST,28.93339387,28.05902976,27.85307124,30.32059008,30.76030967,30.38769794,29.73237244,30.36532513,29.90823568,29.53904106,27.98253303,25.77779533
Pre-demographic dividend,PRE,1.164196725,1.231953072,1.495992101,1.820346787,2.119776165,2.358734413,2.752304888,2.842243705,3.056833581,3.258100723,3.725566821,3.622360108
Qatar,QAT,22.57186721,21.39191073,19.57547736,18.64163907,18.45376185,18.23494519,18.1369609,13.42455522,13.62472069,13.08107359,15.32179852,12.4444435
