name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
Equatorial Guinea,GNQ,355722,372861,391823,412229,433619,455850,478973,502252,526934,552228,577735
Estonia,EST,683354,678029,697212,696360,702493,698211,693266,699275,689511,687862,683366
Ethiopia,ETH,33643555,34917014,35961977,37054672,38209401,39439184,40744475,42150527,43607101,45116156,46671734
Euro area,EMU,154393520,156067940,157669967,159201324,160698208,161130592,161241721,160815280,161773606,162008851,162417694
Europe & Central Asia,ECS,406254839,410335304,413899424,417832192,422053931,424338123,426156684,427977529,430411088,432286662,434710887
Europe & Central Asia (excluding high income),ECA,180719843,182425368,183762428,185800980,187584860,188856093,190072837,191857741,192627562,193619543,194876250
Europe & Central Asia (IDA & IBRD countries),TEC,197962699,199818574,201044317,203096819,205131830,206686548,208121376,209979766,210880771,211917064,213294758
European Union,EUU,234344460,236307945,238690072,240397300,242514995,243243679,243643841,243289202,244884597,245660414,246917338
Fiji,FJI,317303,320661,320615,321402,325789,330883,335017,337343,339729,341603,343179
Finland,FIN,2622653,2643463,2681984,2707311,2736167,2708515,2697774,2711842,2718304,2691815,2686216
Fragile and conflict affected situations,FCS,136349558,140092556,143616452,147191910,150975783,154603272,158631155,162433693,166463875,170871724,175407310
France,FRA,28474243,28742643,28890569,29107904,29284832,29539633,29645117,29693735,29937596,29994589,30033498
French Polynesia,PYF,102856,104499,106090,107564,109119,110600,111674,112690,113614,114482,115309
Gabon,GAB,490128,505682,504839,503152,500683,497512,493578,514352,536448,559007,581339
"Gambia, The",GMB,581857,601298,619647,639109,659760,681911,705156,727604,751320,776318,802655
Georgia,GEO,2165302,2147215,2129077,2112296,2097028,2080977,2096057,2100898,2108813,2059906,2030011
Germany,DEU,40845505,41282894,41626600,41892111,41901328,41965846,41999734,41665603,41764275,42151284,42450423
Ghana,GHA,8772227,8904953,9033027,9466946,9915200,10379656,10859106,11331411,11816109,12309496,12640631
Greece,GRC,4925532,4935425,4981280,4985357,4998837,5054368,5080556,5001986,4945645,4883929,4819351
Guam,GUM,69579,70300,72081,70002,70792,71421,72296,73178,73467,73823,74231
Guatemala,GTM,4647266,4935616,5229838,5313344,5399501,5483148,5561855,5646356,6266333,5949030,6157910
Guinea,GIN,3783551,3886461,3989496,4102354,4222869,4349740,4482419,4640410,4757593,5406768,5553328
Guinea-Bissau,GNB,547155,563065,578713,595212,612511,630638,649470,666956,686971,707648,728653
Guyana,GUY,287606,287770,290637,292931,295764,298625,301586,305130,308883,312838,317202
Haiti,HTI,3562186,3661201,3760889,3860774,3963789,4067623,4180008,4282683,4388239,4495293,4601708
Heavily indebted poor countries (HIPC),HPC,212886832,219477413,226081614,233039615,240383172,248078653,256058078,263767466,271660223,280525223,289663023
High income,HIC,539859581,546306469,553039489,559447374,566496612,569651760,573272606,574808771,579914832,583854026,587719848
Honduras,HND,2627013,2631977,2813069,2944215,3080187,3220085,3332447,3451864,3573589,3699973,3825275
"Hong Kong SAR, China",HKG,3526104,3554959,3598742,3654955,3676110,3698837,3682194,3739221,3814622,3885094,3908553
Hungary,HUN,4220704,4271638,4295634,4279872,4249874,4254746,4303565,4326628,4387094,4420495,4547138
IBRD only,IBD,1984221268,2016779687,2032805786,2050174960,2067253455,2082671576,2095281103,2115184494,2136288435,2159235845,2183091248
Iceland,ISL,168694,174291,181496,186733,189313,186575,187718,186554,187893,190810,193611
IDA & IBRD total,IBT,2444460707,2489827267,2518678060,2547813368,2577226750,2606301695,2633146184,2667465750,2702385464,2740496283,2780078455
IDA blend,IDB,133025313,137660185,142458962,146015125,149893871,154621566,159397446,163957635,168206191,172621940,177108124
IDA only,IDX,327214126,335387396,343413311,351623283,360079424,369008553,378467635,388323620,397890838,408638498,419879082
IDA total,IDA,460239439,473047580,485872274,497638408,509973295,523630119,537865081,552281255,566097029,581260438,596987206
India,IND,453263915,466009002,467055902,468036894,468945372,469787703,470593748,473683611,476809456,484664175,492267048
Indonesia,IDN,105357727,107161682,109215896,111217979,113093327,115291606,117350710,119044361,120568834,122010546,123568045
"Iran, Islamic Rep.",IRN,23449137,24675746,24701918,24691036,23945020,24573108,24624367,25096527,25545668,26155771,26556655
Iraq,IRQ,6241826,6456898,6656903,6858764,7050076,7266286,7512507,7791861,8099394,8426473,8760337
Ireland,IRL,1971636,2077983,2159814,2238864,2263706,2240588,2212519,2192517,2180128,2190302,2185422
Israel,ISR,3038665,3107738,3188821,3274615,3334553,3429472,3504611,3546403,3641687,3713619,3805304
Italy,ITA,24521456,24396974,24457298,24438274,24758709,24540422,24477364,24449018,24957186,25045495,25406356
Jamaica,JAM,1249557,1266002,1285842,1305041,1324221,1300643,1294999,1309833,1337270,1386012,1408224
Japan,JPN,66548715,66595631,66624479,66900411,66787610,66578719,66748679,65586043,65285023,65634180,65869553
Jordan,JOR,1392724,1461578,1517927,1645517,1720346,1849672,1920261,1999376,2072191,2132068,2237798
Kazakhstan,KAZ,7801554,7945296,8077111,8221842,8376350,8572345,8723467,8844623,8930920,8958997,9045446
Kenya,KEN,12824704,13116728,13569575,14027008,14508935,15009550,15530606,16083882,16680041,17301674,17932109
"Korea, Dem. People?s Rep.",PRK,14504668,14627307,14730929,14842750,14976636,15122456,15228431,15341900,15462056,15573887,15693806
"Korea, Rep.",KOR,23749918,23821621,24104621,24445400,24663712,24718565,25080158,25493936,25898479,26226135,26448924
Kuwait,KWT,1100564,1140740,1195308,1263682,1347176,1455484,1571256,1677274,1797436,1929125,2051661
Kyrgyz Republic,KGZ,2219203,2312361,2382582,2395405,2401772,2406675,2447362,2502079,2512263,2486568,2531407
Lao PDR,LAO,2645416,2709272,2780218,2856265,2933467,3010414,3083039,3149202,3215021,3279108,3344090
Late-demographic dividend,LTE,1161209533,1173538062,1181680737,1191004044,1200217687,1207977002,1212112812,1222338161,1231885164,1239632810,1247861761
Latin America & Caribbean,LCN,251469786,257292773,262694114,267738762,273540003,278756684,282708510,285380625,291813636,295280057,301167207
Latin America & Caribbean (excluding high income),LAC,240905585,246477522,251637560,256500622,262019704,267102672,270655843,273058800,279397374,282731287,288447519
Latin America & the Caribbean (IDA & IBRD countries),TLA,244969888,250657731,255966021,260911835,266663202,271702945,275787467,278429187,284855820,288312413,294198608
Latvia,LVA,1109451,1104714,1126373,1144688,1159916,1115837,1062744,1037180,1043281,1029318,1020813
