Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Bangladesh,BGD,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.467834219,0.459803845,0.475406774,0.452626157,0.476301949,0.492112663,0.519930557,0.516685667,0.51635604,0.502967142,0.497897765
Barbados,BRB,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.314352892,0.316069122,0.303166626,0.29631753,0.350687405,0.364628728,0.332329091,0.341293179,0.327221569,0.322558128,0.28318235
Belarus,BLR,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,1.580732586,1.469964583,1.401926388,1.258725178,1.190938763,1.153061571,1.101537062,1.060555143,1.028839945,1.027212872,1.00551585
Belgium,BEL,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.251339729,0.240438794,0.231468916,0.216487708,0.216746365,0.212087998,0.229189067,0.203040877,0.192950315,0.196852306,0.186435883
Belize,BLZ,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.327218637,0.342842557,0.34492366,0.366531492,0.325023908,0.433912627,0.385830514,0.421580522,0.321869001,0.342132267,0.316977305
Benin,BEN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.441931587,0.414802851,0.645327916,0.70689741,0.661276988,0.682819764,0.730218091,0.737819587,0.727357489,0.720844421,0.736765611
Bermuda,BMU,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.105465339,0.103728706,0.110024357,0.119601044,0.104777923,0.081248871,0.105967641,0.079910065,0.090215283,0.088979887,0.508558369
Bhutan,BTN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.327406128,0.392961797,0.364366469,0.308979369,0.316966542,0.273924686,0.307612393,0.428743265,0.45497379,0.501358946,0.515674888
Bolivia,BOL,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.73940215,0.776310508,0.915324699,0.716967933,0.725046408,0.74133285,0.773723525,0.781038701,0.864814552,0.815153903,0.833925345
Bosnia and Herzegovina,BIH,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,1.137747326,1.085935529,1.117026915,1.061795998,1.149225867,1.215473858,1.239547143,1.379133833,1.297236501,1.247702532,1.251899373
Botswana,BWA,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.398363331,0.400357181,0.373094664,0.352517337,0.353359088,0.31943736,0.366509164,0.308016463,0.298759641,0.331566826,0.428197365
Brazil,BRA,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.196441118,0.195689042,0.18842626,0.18558605,0.188461981,0.178727926,0.190031031,0.191326812,0.200799707,0.208897459,0.218633344
Brunei Darussalam,BRN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.378267082,0.377359837,0.351136144,0.606797635,0.67056954,0.588470254,0.598442922,0.681788535,0.673576944,0.555579509,0.664129564
Bulgaria,BGR,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,1.154078977,1.101836777,1.055278762,1.045344188,0.960791593,0.843485402,0.871645581,0.956718941,0.866516244,0.760952101,0.804380257
Burkina Faso,BFA,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.179630908,0.168607079,0.191765064,0.219660438,0.238467797,0.233378925,0.218469071,0.231161296,0.258202466,0.292113901,0.261214968
Burundi,BDI,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.122796381,0.094656388,0.109067015,0.104085651,0.101026603,0.097640031,0.104933508,0.114603352,0.128537518,0.126083797,0.182990648
Cabo Verde,CPV,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.281696754,0.351311418,0.349737597,0.324855136,0.282525493,0.319695443,0.334903799,0.356026542,0.289320166,0.282856356,0.277003623
Cambodia,KHM,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.340360918,0.341091728,0.332737851,0.348778389,0.367723078,0.438604302,0.445887413,0.432592498,0.422415491,0.403778484,0.449917098
Cameroon,CMR,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.197783513,0.180620442,0.182790678,0.267474242,0.247067455,0.294003955,0.287026674,0.234473641,0.238153424,0.24936813,0.243445018
Canada,CAN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.37380479,0.365631878,0.347594086,0.347166769,0.347866427,0.342936392,0.331380472,0.322755661,0.305610388,0.298058022,0.301860033
Caribbean small states,CSS,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.975765122,1.02206446,1.049575199,1.03977398,1.020072301,1.032491383,1.066140374,1.046308954,1.010705611,1.02893861,1.001945419
Central African Republic,CAF,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.139786141,0.138528015,0.140483432,0.136270647,0.133527811,0.131283856,0.132941604,0.135843439,0.137344396,0.219685776,0.220108775
Central Europe and the Baltics,CEB,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.680571029,0.652051662,0.633389388,0.595361425,0.561994849,0.530177893,0.543129357,0.528181964,0.496501974,0.47697334,0.448122849
Chad,TCD,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.052708173,0.047538862,0.048099325,0.052869605,0.056596684,0.052352752,0.048513913,0.050536455,0.052728513,0.057054175,0.055607004
Chile,CHL,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.347964629,0.340310986,0.335603058,0.353593768,0.342553031,0.323558272,0.330610921,0.341727185,0.331556827,0.327527417,0.31882678
China,CHN,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,1.633103897,1.651876832,1.622619668,1.529571662,1.498521994,1.45100121,1.438548853,1.456592604,1.391429421,1.320799653,1.235038132
Colombia,COL,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.250777346,0.26505338,0.256546756,0.238042711,0.250724164,0.263215305,0.265399877,0.250155165,0.25118082,0.268485654,0.241307121
Comoros,COM,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.300072856,0.284311601,0.320713929,0.202470608,0.208865681,0.254322251,0.304147072,0.249278789,0.255100309,0.303352281,0.260071509
"Congo, Dem. Rep.",COD,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.081192049,0.095681905,0.097511566,0.100128908,0.099770352,0.091261219,0.098449978,0.113694368,0.102199156,0.14078129,0.167293105
"Congo, Rep.",COG,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.109950823,0.105582763,0.113106189,0.124721399,0.127418169,0.158083805,0.164906703,0.181893893,0.230422609,0.23155848,0.217370882
Costa Rica,CRI,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.243703131,0.232510891,0.224111041,0.237046336,0.226718857,0.222538343,0.203084657,0.19913233,0.190647441,0.182368846,0.179671316
Cote d'Ivoire,CIV,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.349582008,0.350901742,0.309054916,0.294144451,0.286850302,0.231965339,0.279985477,0.304700232,0.35291567,0.372560524,0.353962295
Croatia,HRV,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.39989744,0.387623987,0.370162907,0.371048112,0.344726283,0.348708451,0.338088033,0.33293999,0.309195217,0.304813859,0.293967558
Cuba,CUB,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.561953265,0.525577759,0.49425151,0.450492509,0.491598181,0.475868919,0.596554455,0.544194414,0.530743757,0.49716723,0.492531471
Cyprus,CYP,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.33698608,0.332358667,0.330139343,0.331415791,0.33393427,0.321501188,0.301539712,0.289563709,0.278628961,0.254659038,0.263562466
Czech Republic,CZE,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.677071709,0.654249897,0.62234056,0.595506203,0.548544484,0.531988446,0.538988577,0.506272227,0.482293009,0.473343929,0.450556472
Denmark,DNK,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.162522247,0.147808846,0.16607743,0.150422289,0.14120127,0.140818262,0.144848592,0.124563485,0.111387373,0.116733951,0.099808493
Djibouti,DJI,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.471302754,0.465054328,0.43982767,0.47079528,0.480302613,0.423664776,0.458126564,0.401212828,0.418280234,0.468994125,0.525072024
Dominica,DMA,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.268256871,0.277154886,0.260851658,0.332400847,0.265975577,0.269123671,0.282177223,0.260501863,0.278365612,0.268770959,0.265135686
Dominican Republic,DOM,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.503417439,0.469045174,0.449833267,0.442859281,0.419724158,0.406072663,0.389640905,0.381609704,0.386884916,0.35798138,0.334204915
Early-demographic dividend,EAR,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.76536305,0.743560241,0.736994962,0.720189836,0.742415656,0.765198699,0.726420768,0.726713992,0.739797119,0.692544392,0.698063866
East Asia & Pacific,EAS,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.682535374,0.698795503,0.708345754,0.705317474,0.719220642,0.735338027,0.743151355,0.776388259,0.760984497,0.734101435,0.705792754
East Asia & Pacific (excluding high income),EAP,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,1.386480449,1.404077103,1.383536222,1.321231314,1.309793094,1.286184988,1.274905863,1.307891917,1.253877093,1.181608435,1.111971756
East Asia & Pacific (IDA & IBRD countries),TEA,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,1.373173465,1.391560322,1.372204092,1.313369644,1.301668981,1.278829513,1.268935452,1.304797186,1.250950536,1.180225113,1.110253179
Ecuador,ECU,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.519449152,0.514022762,0.469494026,0.507652113,0.50694866,0.536840504,0.524200828,0.51460523,0.481200098,0.492860949,0.507724084
"Egypt, Arab Rep.",EGY,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.9721201,1.030919661,1.030448988,1.018830752,0.9985139,0.993068805,0.926113476,0.97477265,0.953224956,0.917126641,0.843045988
El Salvador,SLV,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.33027119,0.323317933,0.330062325,0.323986361,0.300074182,0.304920467,0.301498156,0.303669494,0.298720363,0.274256254,0.272789045
Equatorial Guinea,GNQ,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.504611301,0.390304128,0.365766949,0.319970762,0.255010999,0.258187854,0.287086538,0.352932334,0.272025198,0.286397563,0.2986421
Estonia,EST,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.950368033,0.842369412,0.737485852,0.791675303,0.782570033,0.764168814,0.929029046,0.887211771,0.805649359,0.89672428,0.85570836
Ethiopia,ETH,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.331506827,0.28661308,0.278045214,0.272567755,0.269127638,0.249284457,0.220016641,0.23216338,0.236807299,0.265962678,0.263095717
Euro area,EMU,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.231762233,0.226564829,0.219574316,0.209441171,0.203739636,0.197275253,0.197433411,0.187097451,0.184894052,0.181955306,0.170619021
