Country Name,Country Code,Series,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Mozambique,MOZ,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,7.34525013,7.91381979,8.184300423,8.767210007,9.187829971,9.32063961,9.496890068,9.233149529,9.097189903,9.628230095,9.56867981
Nepal,NPL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.71563379,9.575969696,10.03493023,10.1157999,10.49135971,11.12395,11.96592999,12.29835033,13.67457888,12.40063953,12.21763039
Netherlands,NLD,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.43221092,16.54055023,16.63007927,16.76943016,16.90498924,16.98361015,17.19934082,18.10461998,18.11654091,14.09953858,14.38965079
New Zealand,NZL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,18.92757034,19.14234924,19.17749977,19.50406075,19.27010918,20.26753044,19.73880005,19.47661972,19.27919006,19.1678009,19.22820091
Niger,NER,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,3.45923996,3.68633008,3.833440065,3.972170115,4.211850166,4.45138979,4.782219887,5.069479942,5.315810204,14.09953858,14.38965079
North America,NAC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.88707352,15.972929,16.02407646,16.17681885,16.290308,16.3886013,16.51534462,16.61352539,16.58991623,16.52447319,16.51984024
Norway,NOR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,17.63500977,17.50441933,17.60119057,17.56683922,17.38771057,17.36613083,17.54965973,17.57513046,17.46236992,17.67210007,17.67186928
OECD members,OED,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.97444916,15.06888008,15.11183453,15.20288181,15.27498817,15.39256954,15.59764194,15.71439648,15.77930641,16.1633606,16.22368431
Pakistan,PAK,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,6.096779823,6.501100063,6.743319988,7.257480145,7.342150211,7.505809784,13.60591236,7.595079899,7.742380142,7.794769764,8.106909752
Panama,PAN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.92284966,12.91582966,12.9139204,12.98886967,12.82336998,12.82332039,12.92737007,12.79981041,13.74470043,12.7982502,14.38965079
Philippines,PHL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.61244011,11.51414967,11.36958981,13.19833133,11.72778988,11.44145966,13.60591236,13.57464749,13.67457888,12.74995995,14.38965079
Poland,POL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.80998993,14.99884987,15.02077007,15.03874969,15.06412029,15.13383961,15.39251995,15.3289299,15.43626976,16.37392998,16.13765907
Portugal,PRT,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.43640041,15.44097996,15.44694996,15.78217983,15.99225044,16.04783058,16.15493011,16.25798988,16.34643936,16.7969799,16.56575966
Romania,ROU,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.40999985,13.69795036,14.07538986,14.70273018,15.44925976,15.81515026,15.70658016,15.32944965,14.73497963,14.09953858,14.38965079
Russian Federation,RUS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.71563379,13.75570965,13.78577995,13.89513016,13.98278046,13.73882008,13.60591236,14.34321976,14.62889957,14.86561966,14.9531498
Rwanda,RWA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,8.77974987,9.297089577,10.06212044,10.40942001,10.16265965,10.7986002,10.94958973,11.12252045,11.28553963,11.03318977,10.94027042
Sao Tome and Principe,STP,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,10.02474976,10.1873703,12.91122721,10.35848045,10.1099596,10.60663033,10.55185986,13.57464749,11.03810024,14.09953858,12.10266972
Saudi Arabia,SAU,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.71563379,12.53337002,12.91122721,12.8076601,13.18471495,13.25181961,13.60591236,13.57464749,13.67457888,15.72836018,16.11227036
Serbia,SRB,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.16234016,13.41617966,13.53829956,13.51412964,13.60622978,13.61565018,13.51084995,14.01875973,14.12020016,14.28219986,14.36067963
Seychelles,SYC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.1169796,13.06295967,11.65400028,13.15812016,13.23124027,13.24798012,13.33798027,11.9517498,13.46339035,13.31857014,14.18360996
Slovak Republic,SVK,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.99370956,14.26340961,14.48729992,14.78133965,14.92018032,14.99256039,15.04601955,15.0176096,15.04901028,15.06081009,14.96487999
Slovenia,SVN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.33083916,16.6842308,16.83045006,16.85681915,16.85302925,16.86490059,16.96484947,16.79917908,16.84313011,17.63541985,17.34830093
